dni,nombre
32045982,Gómez Ana María
32458910,Fernández Carlos Roberto
31247856,Pérez Juan Manuel
31890432,López María Elena
32500890,González Luis Alberto
31111222,Acosta Carla Beatriz
33112233,Torres Luis Fernando
30987654,Martínez Sofía
32654321,Rodríguez Pablo
31555888,Sánchez Laura
32777999,Ramírez Diego
31444333,Díaz Patricia
32888666,Morales Javier
31222111,Romero Claudia
32999777,Silva Marcos
31666555,Castro Valeria
32111222,Núñez Ricardo
31777888,Vega Gabriela
32333444,Blanco Sergio
31999000,Molina Adriana
32555666,Gutiérrez Federico
31888999,Ortiz Natalia
32666777,Ruiz Alejandro
31333222,Mendoza Carolina
32444555,Flores Martín
31000111,Herrera Sandra
32222333,Campos Eduardo
31111000,Vázquez Mónica
32888999,Paredes Germán
31555666,Rivas Julia
